yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
195501,0.0122,0.0293,0.0345,0.0286,0.0052,0.0164
195502,0.0117,0.0293,0.0347,0.0292,0.0054,0.0175
195503,0.0128,0.0302,0.0348,0.0288,0.0046,0.0160
195504,0.0159,0.0301,0.0349,0.0290,0.0048,0.0131
195505,0.0145,0.0304,0.0350,0.0287,0.0046,0.0142
195506,0.0141,0.0305,0.0351,0.0293,0.0046,0.0152
195507,0.0160,0.0306,0.0352,0.0300,0.0046,0.0140
195508,0.0190,0.0311,0.0356,0.0301,0.0045,0.0111
195509,0.0207,0.0313,0.0359,0.0298,0.0046,0.0091
195510,0.0223,0.0310,0.0359,0.0292,0.0049,0.0069
195511,0.0224,0.0310,0.0358,0.0295,0.0048,0.0071
195512,0.0254,0.0315,0.0362,0.0295,0.0047,0.0041
195601,0.0241,0.0311,0.0360,0.0292,0.0049,0.0051
195602,0.0232,0.0308,0.0358,0.0293,0.0050,0.0061
195603,0.0225,0.0310,0.0360,0.0303,0.0050,0.0078
195604,0.0260,0.0324,0.0368,0.0311,0.0044,0.0051
195605,0.0261,0.0328,0.0373,0.0299,0.0045,0.0038
195606,0.0249,0.0326,0.0376,0.0299,0.0050,0.0050
195607,0.0231,0.0328,0.0380,0.0313,0.0052,0.0082
195608,0.0260,0.0343,0.0393,0.0325,0.0050,0.0065
195609,0.0284,0.0356,0.0407,0.0324,0.0051,0.0040
195610,0.0290,0.0359,0.0417,0.0329,0.0058,0.0039
195611,0.0299,0.0369,0.0424,0.0333,0.0055,0.0034
195612,0.0321,0.0375,0.0437,0.0345,0.0062,0.0024
195701,0.0311,0.0377,0.0449,0.0328,0.0072,0.0017
195702,0.0310,0.0367,0.0447,0.0328,0.0080,0.0018
195703,0.0308,0.0366,0.0443,0.0331,0.0077,0.0023
195704,0.0307,0.0367,0.0444,0.0345,0.0077,0.0038
195705,0.0306,0.0374,0.0452,0.0348,0.0078,0.0042
195706,0.0329,0.0391,0.0463,0.0361,0.0072,0.0032
195707,0.0316,0.0399,0.0473,0.0365,0.0074,0.0049
195708,0.0337,0.0410,0.0482,0.0367,0.0072,0.0030
195709,0.0353,0.0412,0.0493,0.0364,0.0081,0.0011
195710,0.0358,0.0410,0.0499,0.0369,0.0089,0.0011
195711,0.0331,0.0408,0.0509,0.0340,0.0101,0.0009
195712,0.0304,0.0381,0.0503,0.0323,0.0122,0.0019
195801,0.0244,0.0360,0.0483,0.0330,0.0123,0.0086
195802,0.0153,0.0359,0.0466,0.0325,0.0107,0.0172
195803,0.0130,0.0363,0.0468,0.0321,0.0105,0.0191
195804,0.0113,0.0360,0.0467,0.0311,0.0107,0.0198
195805,0.0091,0.0357,0.0462,0.0313,0.0105,0.0222
195806,0.0083,0.0357,0.0455,0.0324,0.0098,0.0241
195807,0.0091,0.0367,0.0453,0.0343,0.0086,0.0252
195808,0.0169,0.0385,0.0467,0.0371,0.0082,0.0202
195809,0.0244,0.0409,0.0487,0.0380,0.0078,0.0136
195810,0.0263,0.0411,0.0492,0.0374,0.0081,0.0111
195811,0.0267,0.0409,0.0487,0.0368,0.0078,0.0101
195812,0.0277,0.0408,0.0485,0.0382,0.0077,0.0105
195901,0.0282,0.0412,0.0487,0.0408,0.0075,0.0126
195902,0.0270,0.0414,0.0489,0.0402,0.0075,0.0132
195903,0.0280,0.0413,0.0485,0.0403,0.0072,0.0123
195904,0.0295,0.0423,0.0486,0.0414,0.0063,0.0119
195905,0.0284,0.0437,0.0496,0.0417,0.0059,0.0133
195906,0.0321,0.0446,0.0504,0.0419,0.0058,0.0098
195907,0.0320,0.0447,0.0508,0.0417,0.0061,0.0097
195908,0.0338,0.0443,0.0509,0.0423,0.0066,0.0085
195909,0.0404,0.0452,0.0518,0.0429,0.0066,0.0025
195910,0.0405,0.0457,0.0528,0.0421,0.0071,0.0016
195911,0.0415,0.0456,0.0526,0.0432,0.0070,0.0017
195912,0.0449,0.0458,0.0528,0.0447,0.0070,-0.0002
196001,0.0435,0.0461,0.0534,0.0441,0.0073,0.0006
196002,0.0396,0.0456,0.0534,0.0429,0.0078,0.0033
196003,0.0331,0.0449,0.0525,0.0411,0.0076,0.0080
196004,0.0323,0.0445,0.0520,0.0426,0.0075,0.0103
196005,0.0329,0.0446,0.0528,0.0417,0.0082,0.0088
196006,0.0246,0.0445,0.0526,0.0407,0.0081,0.0161
196007,0.0230,0.0441,0.0522,0.0382,0.0081,0.0152
196008,0.0230,0.0428,0.0508,0.0390,0.0080,0.0160
196009,0.0248,0.0425,0.0501,0.0387,0.0076,0.0139
196010,0.0230,0.0430,0.0511,0.0391,0.0081,0.0161
196011,0.0237,0.0431,0.0508,0.0399,0.0077,0.0162
196012,0.0225,0.0435,0.0510,0.0380,0.0075,0.0155
196101,0.0224,0.0432,0.0510,0.0404,0.0078,0.0180
196102,0.0242,0.0427,0.0507,0.0392,0.0080,0.0150
196103,0.0239,0.0422,0.0502,0.0397,0.0080,0.0158
196104,0.0229,0.0425,0.0501,0.0391,0.0076,0.0162
196105,0.0229,0.0427,0.0501,0.0397,0.0074,0.0168
196106,0.0233,0.0433,0.0503,0.0404,0.0070,0.0171
196107,0.0224,0.0441,0.0509,0.0404,0.0068,0.0180
196108,0.0239,0.0445,0.0511,0.0410,0.0066,0.0171
196109,0.0228,0.0445,0.0512,0.0403,0.0067,0.0175
196110,0.0230,0.0442,0.0513,0.0400,0.0071,0.0170
196111,0.0248,0.0439,0.0511,0.0404,0.0072,0.0156
196112,0.0260,0.0442,0.0510,0.0415,0.0068,0.0155
196201,0.0272,0.0442,0.0508,0.0419,0.0066,0.0147
196202,0.0273,0.0442,0.0507,0.0414,0.0065,0.0141
196203,0.0272,0.0439,0.0504,0.0398,0.0065,0.0126
196204,0.0273,0.0433,0.0502,0.0394,0.0069,0.0121
196205,0.0269,0.0428,0.0500,0.0393,0.0072,0.0124
196206,0.0273,0.0428,0.0502,0.0401,0.0074,0.0128
196207,0.0292,0.0434,0.0505,0.0412,0.0071,0.0120
196208,0.0282,0.0435,0.0506,0.0401,0.0071,0.0119
196209,0.0278,0.0432,0.0503,0.0398,0.0071,0.0120
196210,0.0274,0.0428,0.0499,0.0395,0.0071,0.0121
196211,0.0283,0.0425,0.0496,0.0396,0.0071,0.0113
196212,0.0287,0.0424,0.0492,0.0395,0.0068,0.0108
196301,0.0291,0.0421,0.0491,0.0398,0.0070,0.0107
