"","date","series_id","value","realtime_start","realtime_end"
"1",1957-01-01,"CUSR0000SA0L5",28.3,2023-06-14,2023-06-14
"2",1957-02-01,"CUSR0000SA0L5",28.5,2023-06-14,2023-06-14
"3",1957-03-01,"CUSR0000SA0L5",28.5,2023-06-14,2023-06-14
"4",1957-04-01,"CUSR0000SA0L5",28.5,2023-06-14,2023-06-14
"5",1957-05-01,"CUSR0000SA0L5",28.7,2023-06-14,2023-06-14
"6",1957-06-01,"CUSR0000SA0L5",28.7,2023-06-14,2023-06-14
"7",1957-07-01,"CUSR0000SA0L5",28.8,2023-06-14,2023-06-14
"8",1957-08-01,"CUSR0000SA0L5",28.9,2023-06-14,2023-06-14
"9",1957-09-01,"CUSR0000SA0L5",29,2023-06-14,2023-06-14
"10",1957-10-01,"CUSR0000SA0L5",29,2023-06-14,2023-06-14
"11",1957-11-01,"CUSR0000SA0L5",29,2023-06-14,2023-06-14
"12",1957-12-01,"CUSR0000SA0L5",29.1,2023-06-14,2023-06-14
"13",1958-01-01,"CUSR0000SA0L5",29.3,2023-06-14,2023-06-14
"14",1958-02-01,"CUSR0000SA0L5",29.4,2023-06-14,2023-06-14
"15",1958-03-01,"CUSR0000SA0L5",29.5,2023-06-14,2023-06-14
"16",1958-04-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"17",1958-05-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"18",1958-06-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"19",1958-07-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"20",1958-08-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"21",1958-09-01,"CUSR0000SA0L5",29.5,2023-06-14,2023-06-14
"22",1958-10-01,"CUSR0000SA0L5",29.5,2023-06-14,2023-06-14
"23",1958-11-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"24",1958-12-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"25",1959-01-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"26",1959-02-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"27",1959-03-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"28",1959-04-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"29",1959-05-01,"CUSR0000SA0L5",29.6,2023-06-14,2023-06-14
"30",1959-06-01,"CUSR0000SA0L5",29.7,2023-06-14,2023-06-14
"31",1959-07-01,"CUSR0000SA0L5",29.8,2023-06-14,2023-06-14
